@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23,25'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dis_Dot numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric
@attribute Score2 numeric

@data
11,5,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,22,-1,North,366,364
11,6,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,21,-1,North,365,363
11,7,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,20,-1,North,364,362
11,8,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,19,-1,North,363,361
11,9,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,18,-1,North,362,360
11,10,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,17,-1,North,361,359
11,11,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,16,-1,North,360,358
11,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,-1,North,359,357
12,12,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,11,14,-1,East,358,356
13,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,13,-1,East,357,355
13,11,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,9,14,-1,South,356,354
13,10,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,8,15,-1,South,355,353
13,9,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,7,16,-1,South,354,352
13,8,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,6,17,-1,South,353,351
13,7,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,5,18,-1,South,352,350
13,6,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,4,19,-1,South,351,349
14,6,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,3,18,-1,East,350,348
15,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,2,17,-1,East,349,547
16,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,1,16,-1,East,348,546
17,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,-1,East,547,545
16,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,-1,West,546,544
15,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,-1,West,545,543
14,6,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,18,-1,West,544,542
14,7,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,-1,North,543,541
14,8,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,-1,North,542,540
14,9,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,-1,North,541,539
14,10,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,-1,North,540,538
15,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,-1,East,539,537
16,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,-1,East,538,536
17,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,-1,East,537,535
18,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,-1,East,536,534
18,11,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,-1,North,535,533
18,12,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,-1,North,534,532
19,12,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,East,533,531
20,12,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,East,532,530
20,13,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,-1,North,531,529
20,14,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,North,530,528
20,15,1,1,1,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,-1,North,529,527
21,15,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,-1,East,528,526
22,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,-1,East,527,525
23,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,-1,East,526,524
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,7,Stop,0,-2
12,10,1,1,1,1,1,5,7,5,12,12,6,13,12,10,9,4,4,7,Stop,-1,-3
13,10,1,1,1,1,1,5,8,5,12,11,6,13,13,10,10,6,4,6,East,-2,-4
14,10,1,1,1,1,1,5,7,5,12,11,5,12,13,12,11,8,6,5,East,-3,-5
15,10,1,1,1,1,1,5,6,5,12,11,4,12,14,14,12,10,6,4,East,-4,-6
16,10,1,1,1,1,1,5,7,4,12,10,4,13,14,14,14,12,8,3,East,-5,-7
17,10,1,1,1,1,1,5,6,3,12,10,5,12,14,16,16,12,9,2,East,-6,92
17,9,1,1,1,1,1,5,7,3,11,10,4,12,14,14,16,12,10,1,South,-7,91
18,9,1,0,1,1,1,6,7,3,12,10,5,12,14,14,18,12,11,-1,East,92,90
18,10,1,0,1,1,1,6,6,4,12,11,5,12,14,16,16,12,9,-1,North,91,89
17,10,1,1,1,1,1,6,6,4,11,11,6,12,13,15,14,10,9,-1,West,90,88
16,10,1,1,1,1,1,5,6,5,11,11,5,12,14,15,12,10,7,-1,West,89,87
15,10,1,1,1,1,1,5,5,4,11,11,4,13,14,15,12,10,5,-1,West,88,86
14,10,1,1,1,1,1,5,6,5,11,11,5,13,13,13,10,8,3,-1,West,87,85
14,11,1,1,1,1,1,5,6,4,11,11,4,14,13,14,10,10,2,-1,North,86,84
