@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Remove-R20'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
5,7,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,10,13,26,South,178
5,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,9,12,27,South,177
6,6,1,1,0,1,1,1,1,11,3,17,6,25,13,-1,8,11,26,East,176
7,6,0,1,0,1,1,1,1,11,3,17,6,25,13,-1,7,10,25,East,175
8,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,6,9,24,East,174
9,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,5,8,23,East,173
10,6,1,1,1,1,1,1,1,11,3,17,6,25,13,-1,4,7,22,East,172
11,6,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,3,6,21,East,171
11,5,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,2,7,22,South,170
11,4,1,0,1,1,1,1,1,11,3,17,6,25,13,-1,1,8,23,South,169
11,3,1,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,24,South,368
11,4,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,23,North,367
11,5,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,22,North,366
11,6,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,6,21,North,365
11,7,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,7,20,North,364
11,8,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,8,19,North,363
11,9,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,9,18,North,362
11,10,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,17,North,361
11,11,1,0,1,1,1,1,1,3,1,17,6,25,13,-1,-1,11,16,North,360
11,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,North,359
12,12,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,11,14,East,358
13,12,0,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,10,13,East,357
13,11,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,9,14,South,356
13,10,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,8,15,South,355
13,9,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,7,16,South,354
13,8,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,6,17,South,353
13,7,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,5,18,South,352
13,6,1,1,1,0,1,1,1,3,1,17,6,25,13,-1,-1,4,19,South,351
14,6,1,1,1,1,1,1,1,3,1,17,6,25,13,-1,-1,3,18,East,350
15,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,2,17,East,349
16,6,0,1,0,1,1,1,1,3,1,17,6,25,13,-1,-1,1,16,East,348
17,6,0,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,East,547
16,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,West,546
15,6,0,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,West,545
14,6,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,18,West,544
14,7,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,North,543
14,8,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,16,North,542
14,9,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,North,541
14,10,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,North,540
15,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,East,539
16,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,East,538
17,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,East,537
18,10,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,East,536
18,11,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,North,535
18,12,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,North,534
19,12,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,East,533
20,12,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,East,532
20,13,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,North,531
20,14,1,0,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,North,530
20,15,1,1,1,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,North,529
21,15,1,1,0,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,East,528
22,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,5,East,527
23,15,1,1,1,1,1,1,1,3,1,5,1,25,13,-1,-1,-1,4,East,526
12,10,1,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,0
12,10,1,1,1,1,1,5,7,5,12,12,6,13,12,10,9,4,4,Stop,-1
13,10,1,1,1,1,1,5,8,5,12,11,6,13,13,10,10,6,4,East,-2
14,10,1,1,1,1,1,5,7,5,12,11,5,12,13,12,11,8,6,East,-3
15,10,1,1,1,1,1,5,6,5,12,11,4,12,14,14,12,10,6,East,-4
16,10,1,1,1,1,1,5,7,4,12,10,4,13,14,14,14,12,8,East,-5
17,10,1,1,1,1,1,5,6,3,12,10,5,12,14,16,16,12,9,East,-6
17,9,1,1,1,1,1,5,7,3,11,10,4,12,14,14,16,12,10,South,-7
18,9,1,0,1,1,1,6,7,3,12,10,5,12,14,14,18,12,11,East,92
18,10,1,0,1,1,1,6,6,4,12,11,5,12,14,16,16,12,9,North,91
17,10,1,1,1,1,1,6,6,4,11,11,6,12,13,15,14,10,9,West,90
16,10,1,1,1,1,1,5,6,5,11,11,5,12,14,15,12,10,7,West,89
15,10,1,1,1,1,1,5,5,4,11,11,4,13,14,15,12,10,5,West,88
14,10,1,1,1,1,1,5,6,5,11,11,5,13,13,13,10,8,3,West,87
14,11,1,1,1,1,1,5,6,4,11,11,4,14,13,14,10,10,2,North,86
14,12,1,1,1,1,1,5,7,5,11,10,4,14,13,14,10,12,2,North,85
14,13,1,1,1,1,1,5,6,5,11,10,5,13,13,16,11,12,2,North,84
13,13,1,1,1,1,1,5,5,5,12,10,6,12,13,16,9,10,2,West,83
12,13,1,1,1,1,1,5,5,4,12,9,6,12,12,15,9,10,2,West,82
13,13,1,1,1,1,1,5,6,4,11,9,6,11,12,15,11,11,4,East,81
13,12,1,1,1,1,1,4,6,4,11,9,7,11,11,15,10,9,4,South,80
12,12,1,1,1,1,1,3,6,4,11,9,7,10,11,15,9,8,2,West,79
11,12,1,1,1,1,1,4,6,4,12,9,7,10,12,13,7,7,2,West,78
11,11,1,1,1,1,1,4,6,5,12,9,8,10,13,12,7,5,2,South,77
11,12,1,1,1,1,1,3,6,5,13,9,8,10,12,14,7,6,2,North,76
10,12,1,1,1,1,1,4,6,5,14,9,7,10,11,12,7,6,1,West,75
10,11,1,1,1,1,1,4,5,5,14,9,7,7,1,12,8,5,-1,South,274
10,10,1,1,1,1,1,4,4,5,14,10,7,7,1,12,9,3,-1,South,273
9,10,1,1,1,1,1,3,4,5,13,10,6,7,1,12,7,5,-1,West,272
9,9,1,1,1,1,1,2,4,6,13,9,6,7,1,12,7,3,-1,South,271
10,9,1,1,1,1,1,1,4,5,13,8,6,7,1,14,9,5,-1,East,270
10,8,1,1,1,1,1,1,3,5,12,8,5,7,1,14,9,5,-1,South,269
